epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,6716.55,0.53415,0.41185,1.14708,0.97743,0.95663,0.97948,0.90284,0.44101,0.24049,1.05337,0.0071785,0.0071785,0.0071785
59,6831.86,0.53179,0.40969,1.14493,0.978,0.96018,0.9808,0.90721,0.441,0.24331,1.05773,0.007129,0.007129,0.007129
60,6947.56,0.52536,0.40399,1.13803,0.97876,0.95434,0.97987,0.90647,0.43066,0.24146,1.05518,0.0070795,0.0070795,0.0070795
61,7063.26,0.52485,0.40293,1.13657,0.97655,0.95778,0.97978,0.90761,0.42578,0.23913,1.04478,0.00703,0.00703,0.00703
62,7178.87,0.51946,0.39545,1.12827,0.97922,0.95729,0.98004,0.90443,0.43624,0.24199,1.05294,0.0069805,0.0069805,0.0069805
63,7294.48,0.5168,0.39817,1.12862,0.97571,0.9514,0.97937,0.90709,0.42423,0.23945,1.04063,0.006931,0.006931,0.006931
64,7409.82,0.5181,0.39505,1.12985,0.97817,0.95778,0.97919,0.90523,0.43146,0.23995,1.04758,0.0068815,0.0068815,0.0068815
65,7525.48,0.50713,0.38967,1.12171,0.9737,0.96122,0.97884,0.90744,0.43159,0.24125,1.04975,0.006832,0.006832,0.006832
66,7641.2,0.5084,0.38574,1.11997,0.98385,0.95672,0.97911,0.90723,0.4312,0.23262,1.04536,0.0067825,0.0067825,0.0067825
67,7756.7,0.50844,0.38809,1.1196,0.98063,0.95385,0.98036,0.90714,0.42584,0.2303,1.04311,0.006733,0.006733,0.006733
68,7870.94,0.50241,0.38174,1.11675,0.97623,0.95778,0.98086,0.90987,0.41744,0.22416,1.03887,0.0066835,0.0066835,0.0066835
69,7985.78,0.50598,0.38504,1.11648,0.97991,0.95762,0.98105,0.91036,0.42038,0.22506,1.04334,0.006634,0.006634,0.006634
70,8101.77,0.49396,0.37289,1.10446,0.9784,0.95827,0.98094,0.90817,0.42043,0.22322,1.03643,0.0065845,0.0065845,0.0065845
71,8217.21,0.49779,0.37715,1.11032,0.97791,0.96171,0.98081,0.908,0.42429,0.22392,1.04646,0.006535,0.006535,0.006535
72,8333,0.48886,0.37137,1.10173,0.97976,0.96024,0.98125,0.90821,0.41347,0.22373,1.04176,0.0064855,0.0064855,0.0064855
73,8448.45,0.4927,0.37787,1.10782,0.98198,0.96308,0.98085,0.90958,0.41876,0.219,1.04309,0.006436,0.006436,0.006436
74,8564.02,0.48553,0.36925,1.10049,0.98322,0.95533,0.98102,0.90965,0.41391,0.21486,1.0415,0.0063865,0.0063865,0.0063865
75,8679.81,0.48627,0.36775,1.10081,0.98095,0.96122,0.98011,0.90845,0.41045,0.22047,1.03902,0.006337,0.006337,0.006337
76,8794.84,0.47895,0.35628,1.0954,0.97845,0.95846,0.9803,0.91009,0.41337,0.22002,1.04292,0.0062875,0.0062875,0.0062875
77,8910.32,0.47524,0.35876,1.08949,0.97883,0.95827,0.98034,0.91092,0.41187,0.21839,1.04212,0.006238,0.006238,0.006238
78,9025.91,0.4825,0.36734,1.09574,0.97792,0.95655,0.9808,0.91072,0.41306,0.21751,1.0442,0.0061885,0.0061885,0.0061885
79,9141.59,0.47533,0.35863,1.0924,0.98014,0.95631,0.98152,0.91223,0.41188,0.21671,1.04252,0.006139,0.006139,0.006139
80,9257.19,0.47286,0.35262,1.08698,0.97595,0.9562,0.97992,0.91293,0.4079,0.2197,1.03696,0.0060895,0.0060895,0.0060895
81,9372.93,0.47163,0.35402,1.08848,0.9783,0.95876,0.98049,0.91344,0.4067,0.21587,1.04034,0.00604,0.00604,0.00604
82,9488.94,0.46804,0.35162,1.08557,0.9768,0.96024,0.97981,0.91071,0.41103,0.21419,1.04501,0.0059905,0.0059905,0.0059905
83,9605.04,0.46767,0.3491,1.08374,0.97558,0.96108,0.98046,0.9142,0.40681,0.21662,1.03824,0.005941,0.005941,0.005941
84,9720.06,0.46715,0.34835,1.08216,0.98148,0.95827,0.98198,0.91441,0.40535,0.21618,1.04067,0.0058915,0.0058915,0.0058915
85,9834.89,0.46014,0.34467,1.07548,0.97727,0.9622,0.98217,0.91396,0.40237,0.21076,1.03941,0.005842,0.005842,0.005842
86,9950.28,0.46323,0.3461,1.07763,0.97673,0.96171,0.9814,0.91317,0.40144,0.20954,1.03705,0.0057925,0.0057925,0.0057925
87,10065.2,0.46126,0.34266,1.07772,0.97975,0.96318,0.98222,0.91277,0.40188,0.20875,1.03647,0.005743,0.005743,0.005743
88,10181,0.45375,0.34111,1.07426,0.98007,0.95827,0.98229,0.91505,0.39964,0.20805,1.03427,0.0056935,0.0056935,0.0056935
