epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5056.76,0.64217,0.50175,1.25458,0.92531,0.92138,0.96453,0.82004,0.64355,0.43147,1.29936,0.0063865,0.0063865,0.0063865
75,5125,0.64026,0.49825,1.25656,0.93489,0.8919,0.96343,0.81992,0.65578,0.45115,1.3029,0.006337,0.006337,0.006337
76,5193.05,0.63699,0.49895,1.25521,0.92622,0.91715,0.95932,0.81242,0.6669,0.43505,1.31513,0.0062875,0.0062875,0.0062875
77,5261.29,0.63479,0.49414,1.25268,0.90938,0.93135,0.9624,0.81999,0.6595,0.44007,1.30661,0.006238,0.006238,0.006238
78,5329.33,0.62918,0.48996,1.24882,0.91091,0.92512,0.95923,0.81823,0.66098,0.44133,1.30771,0.0061885,0.0061885,0.0061885
79,5397.7,0.62889,0.48779,1.24532,0.92995,0.90981,0.96288,0.82594,0.64819,0.42864,1.28939,0.006139,0.006139,0.006139
80,5465.73,0.62071,0.47786,1.23866,0.91008,0.92126,0.96001,0.82626,0.64211,0.4324,1.28848,0.0060895,0.0060895,0.0060895
81,5533.82,0.62255,0.48654,1.23765,0.93547,0.89661,0.9622,0.82455,0.6563,0.43734,1.30443,0.00604,0.00604,0.00604
82,5601.64,0.62452,0.47835,1.24363,0.93597,0.89489,0.95982,0.81727,0.66062,0.43498,1.30042,0.0059905,0.0059905,0.0059905
83,5669.44,0.62682,0.4919,1.24326,0.93951,0.90563,0.96218,0.8222,0.64057,0.43093,1.28694,0.005941,0.005941,0.005941
84,5737.69,0.62607,0.47638,1.24138,0.92995,0.90117,0.96452,0.82812,0.64402,0.42379,1.28713,0.0058915,0.0058915,0.0058915
85,5805.69,0.61386,0.47124,1.23113,0.92947,0.91654,0.96382,0.82748,0.64543,0.41937,1.29649,0.005842,0.005842,0.005842
86,5873.67,0.61555,0.47077,1.23146,0.92929,0.91705,0.95943,0.815,0.66199,0.43887,1.30605,0.0057925,0.0057925,0.0057925
87,5941.86,0.60671,0.46795,1.22426,0.94209,0.90682,0.96077,0.82289,0.65398,0.42773,1.3126,0.005743,0.005743,0.005743
88,6009.71,0.61878,0.47349,1.23492,0.93436,0.91037,0.95808,0.82597,0.6587,0.45088,1.30429,0.0056935,0.0056935,0.0056935
89,6077.87,0.60435,0.46375,1.21669,0.93139,0.91102,0.959,0.82382,0.64714,0.43073,1.2983,0.005644,0.005644,0.005644
90,6145.97,0.61124,0.46416,1.22038,0.93682,0.91307,0.95871,0.82449,0.65311,0.41835,1.29473,0.0055945,0.0055945,0.0055945
91,6214.4,0.60169,0.45286,1.22154,0.92946,0.91828,0.95683,0.82455,0.64731,0.42566,1.29665,0.005545,0.005545,0.005545
92,6282.56,0.59567,0.45392,1.21519,0.93408,0.90382,0.95936,0.82759,0.65822,0.43398,1.309,0.0054955,0.0054955,0.0054955
93,6350.34,0.59327,0.44979,1.21211,0.91327,0.91853,0.96054,0.8275,0.653,0.43736,1.29991,0.005446,0.005446,0.005446
94,6418.47,0.59638,0.45274,1.21145,0.93589,0.90671,0.9666,0.83161,0.65635,0.41822,1.30123,0.0053965,0.0053965,0.0053965
95,6486.91,0.59134,0.45338,1.20599,0.92702,0.91109,0.96181,0.82499,0.65751,0.4298,1.30266,0.005347,0.005347,0.005347
